Listening...

CarTelemetryPacket { speed_kph: 152, throttle: 0.9862402, steer: 0.039033096, brake: 0.0, clutch: 0, gear: 3, eng_rpm: 11726, drs: 1, rev_light_percent: 83, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 100, tyre_2_surface_temp: 100, tyre_3_surface_temp: 97, tyre_4_surface_temp: 98, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 156, throttle: 0.89535403, steer: 0.014485612, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 9677, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 100, tyre_2_surface_temp: 100, tyre_3_surface_temp: 97, tyre_4_surface_temp: 97, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 162, throttle: 1.0, steer: -0.0017438615, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 10244, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 100, tyre_3_surface_temp: 96, tyre_4_surface_temp: 97, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 169, throttle: 1.0, steer: -0.0017438615, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 10491, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 100, tyre_3_surface_temp: 96, tyre_4_surface_temp: 97, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 175, throttle: 1.0, steer: 0.0017438615, brake: 0.0, clutch: 0, gear: 4, eng_rpm: 10898, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 99, tyre_2_surface_temp: 99, tyre_3_surface_temp: 95, tyre_4_surface_temp: 96, tyre_1_inner_temp: 92, tyre_2_inner_temp: 92, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 87, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

